sub_id,name,type,bus1,bus2,W1,W2,latitude,longitude,gic
45836738,T34,GY-GY,5090,5089,0.04,0.06,38.89491305708543,-77.56822564066364,"{'i_w1': -123.60270713677427, 'i_w2': -294.14986778998264}"
40397417,T35,GY-D,4887,4888,0.05,0.1,42.46922702449067,-87.89552500469144,{'i_k': -18.512019257206894}
139514789,T36,GY-GY,1188,1187,0.04,0.06,29.98582847214609,-90.4785815858396,"{'i_w1': -2.2749224443962697, 'i_w2': -0.3719419879666283}"
151081736,T37,GY-D,1457,1458,0.05,0.1,38.20489229373817,-81.42055139451074,{'i_k': -33.52637443987331}
139664489,T38,GY-GY,1204,1203,0.04,0.06,30.74525392025574,-91.3310775071047,"{'i_w1': -1.984078946360146, 'i_w2': -1.808681546368106}"
161680483,T39,GY-D,1769,1770,0.05,0.1,40.1597287600407,-75.11771870859964,{'i_k': -50.88881762696052}
48439509,T40,GY-GY,5200,5199,0.04,0.06,26.70959696610745,-80.37673191797529,"{'i_w1': -12.364399814074908, 'i_w2': -1.1295136729186803}"
166776124,T41,GY-D,2089,2090,0.05,0.1,30.30667338274757,-81.81977212636448,{'i_k': -21.726478118113267}
117922217,T42,Auto,722,721,0.04,0.06,38.64574990668343,-96.4630711339488,"{'i_s': -19.34518791427071, 'i_c': -55.92099073918931}"
178018840,T43,GY-D,3103,3104,0.05,0.1,34.01532122297981,-84.22398568448934,{'i_k': -14.653238124388366}
62004465,T44,GY-GY,5814,5813,0.04,0.06,38.56037746267047,-76.68876373412732,"{'i_w1': -129.9531835801875, 'i_w2': 0.0}"
178910725,T45,GY-D,3147,3148,0.05,0.1,39.70900627975017,-86.62831574196105,{'i_k': -31.341945483433452}
161923393,T46,GY-D,1779,1780,0.05,0.1,35.21905698235925,-80.33822287727473,{'i_k': -181.50087408337936}
45855873,T47,GY-D,5099,5100,0.05,0.1,38.54051245573823,-77.27944290261306,{'i_k': -10.945137810816101}
224133982,T48,GY-D,4019,4020,0.05,0.1,27.717687613999928,-82.40567080224706,{'i_k': -2.1379109482381424}
103187947,T49,GY-D,141,142,0.05,0.1,27.03917202053896,-80.50310471167701,{'i_k': -1.1859112456642766}
80779600,T50,GY-D,6353,6354,0.05,0.1,37.38104764695824,-77.38715373568401,{'i_k': -141.19212067203094}
1099919293,T51,GY-D,543,544,0.05,0.1,40.2090421852718,-74.7017208177376,{'i_k': -4.647920749021287}
84974085,T52,GY-D,6603,6604,0.05,0.1,29.74799431323095,-90.57135218530846,{'i_k': -1.3132045153481087}
187625958,T53,Auto,3856,3855,0.04,0.06,32.03505099603871,-93.56923909930048,"{'i_s': -4.885960488200261, 'i_c': -4.885960483478908}"
165782054,T54,GY-D,2019,2020,0.05,0.1,32.58537541973385,-93.99381941223606,{'i_k': -12.307052532448767}
165928099,T55,GY-D,2041,2042,0.05,0.1,30.273092062255667,-92.03347431700752,{'i_k': -0.3918967711892558}
59433504,T56,GY-D,5723,5724,0.05,0.1,47.07182622869747,-101.19908251375412,{'i_k': -3.1247557730967324}
171556340,T57,GY-D,2489,2490,0.05,0.1,34.30493571663417,-82.27111254254727,{'i_k': -47.72597732416536}
334724835,T58,GY-D,4431,4432,0.05,0.1,26.22919182870105,-80.26432691830094,{'i_k': 0.0}
40836734,T59,Auto,4904,4903,0.04,0.06,43.00862864308229,-88.17330554781901,"{'i_s': -102.70924421656572, 'i_c': -102.70924419666929}"
9307582,T60,GY-D,6921,6922,0.05,0.1,33.70909736832354,-85.14250701456999,{'i_k': -7.960312374495601}
170296000,T61,GY-D,2323,2324,0.05,0.1,33.09450580427277,-82.98158459569741,{'i_k': -16.23026113265988}
177843299,T62,GY-D,3063,3064,0.05,0.1,31.986590500713085,-83.56279781199677,{'i_k': -14.015179731691122}
94793191,T63,GY-D,6975,6976,0.05,0.1,40.48546796209207,-74.53002808852192,{'i_k': -64.1906923849141}
163982860,T64,GY-D,1871,1872,0.05,0.1,37.926391206391415,-100.97189297516168,{'i_k': -27.31683866933234}
186847081,T65,GY-D,3751,3752,0.05,0.1,33.822645025233314,-84.47688370382207,{'i_k': -14.280530872245555}
160712384,T66,GY-D,1755,1756,0.05,0.1,30.791433143756997,-81.55653426375268,{'i_k': -1.3931368004485167}
1056912095,T67,GY-D,343,344,0.05,0.1,34.36400634304506,-85.05103353400544,{'i_k': -17.186207530876697}
162320164,T68,GY-D,1785,1786,0.05,0.1,36.2614751546092,-80.78292777222975,{'i_k': -100.49204377122005}
142493876,T69,GY-D,1293,1294,0.05,0.1,40.9073541118506,-98.26170359990368,{'i_k': -13.305246133205694}
111291077,T70,GY-D,569,570,0.05,0.1,28.00053064544217,-82.73190827580564,{'i_k': -0.8367041706364481}
145014683,T71,GY-D,1341,1342,0.05,0.1,42.01997220240776,-71.3353625535415,{'i_k': -297.42186581248365}
53165292,T72,GY-D,5453,5454,0.05,0.1,34.83920680025696,-85.27994105000458,{'i_k': -6.2544968216162875}
139442863,T73,GY-D,1175,1176,0.05,0.1,32.281389393531995,-90.9288072512074,{'i_k': -12.254591442836047}
94810814,T74,GY-D,6983,6984,0.05,0.1,40.803313532161766,-74.29134848725876,{'i_k': -106.16975200318649}
53827919,T75,GY-D,5499,5500,0.05,0.1,39.00549722046238,-76.95716226223867,{'i_k': 63.4770053642335}
120956731,T76,GY-D,779,780,0.05,0.1,35.21977309460885,-81.76709748146504,{'i_k': -56.20013888690684}
50321454,T77,GY-D,5307,5308,0.05,0.1,42.87389765991396,-71.43916565983783,{'i_k': -98.84327601162182}
53776393,T78,GY-GY,5488,5487,0.04,0.06,39.68741342231856,-76.5404630416921,"{'i_w1': -396.68723346498444, 'i_w2': -81.46842175882408}"
183670546,T79,GY-D,3397,3398,0.05,0.1,41.16860538094219,-76.99195218471047,{'i_k': -6.695504830757433}
174710421,T80,GY-D,2837,2838,0.05,0.1,30.62294324974599,-81.60658341898932,{'i_k': -13.232945234407602}
175090744,T81,GY-D,2881,2882,0.05,0.1,43.02402625741591,-83.943310066348,{'i_k': -24.710695426182895}
164880657,T82,GY-D,1963,1964,0.05,0.1,32.21333523921247,-83.16141730026659,{'i_k': -30.368554498773076}
108371964,T83,GY-GY,506,505,0.04,0.06,35.4220327822225,-80.94578209469974,"{'i_w1': -453.85358600260497, 'i_w2': -413.8208573444684}"
48665919,T84,GY-D,5209,5210,0.05,0.1,45.034508442228784,-93.0387891694358,{'i_k': -121.77368506270373}
183687878,T85,GY-D,3405,3406,0.05,0.1,40.33127728117365,-76.39730136726062,{'i_k': -13.006572892089526}
66762816,T86,GY-D,5953,5954,0.05,0.1,36.48093074684259,-79.07224788921035,{'i_k': -16.186315982228823}
171523257,T87,GY-D,2459,2460,0.05,0.1,33.58573196995469,-83.90416477240842,{'i_k': -29.689643120440593}
96303284,T88,GY-GY,7160,7159,0.04,0.06,38.5008755916481,-77.70887123472924,"{'i_w1': -69.02513569930595, 'i_w2': 0.0}"
181047003,T89,GY-D,3231,3232,0.05,0.1,41.36507637277501,-78.59869379390557,{'i_k': -3.6364554000387397}
544455105,T90,Auto,5548,5547,0.04,0.06,38.932142867340936,-99.3599250830707,"{'i_s': -0.3419085420447587, 'i_c': -0.3251694503521415}"
103187952,T91,GY-D,143,144,0.05,0.1,26.911387626429477,-80.38506264129313,{'i_k': -1.3933007253562137}
160170760,T92,GY-GY,1698,1697,0.04,0.06,26.67297546260101,-81.76897489972727,"{'i_w1': 0.0, 'i_w2': -4.383323189461733}"
53780495,T93,GY-GY,5490,5489,0.04,0.06,39.185530293727226,-77.03662374026187,"{'i_w1': -334.33212283713635, 'i_w2': -260.83313506208157}"
