sub_id,name,type,bus1,bus2,W1,W2,latitude,longitude,gic
107867410,T1668,GY-D,479,480,0.05,0.1,27.85809070498236,-82.65980198980961,{'i_k': -0.34674253008325934}
262147746,T1669,GY-D,4167,4168,0.05,0.1,40.56023166514109,-74.56449829255862,{'i_k': 56.68197889892561}
180122991,T1670,GY-D,3191,3192,0.05,0.1,33.6293874154887,-84.62108702991684,{'i_k': 0.8471606142860387}
175158194,T1671,GY-D,2889,2890,0.05,0.1,34.06160935978608,-84.64967877524752,{'i_k': 3.573790620558222}
226287652,T1672,GY-D,4035,4036,0.05,0.1,39.9412964982364,-76.84833706752185,{'i_k': 5.996042931517591}
184869176,T1673,GY-D,3495,3496,0.05,0.1,32.93248409935068,-80.02821456775445,{'i_k': 2.373146162366859}
95894480,T1674,GY-D,7105,7106,0.05,0.1,40.56399580907738,-74.29480034164517,{'i_k': 11.585761884900553}
235990221,T1675,GY-D,4089,4090,0.05,0.1,34.01397158785525,-85.9732526981972,{'i_k': -3.3134372293138936}
98945649,T1676,GY-D,7329,7330,0.05,0.1,33.647664297913444,-88.31661312079974,{'i_k': 26.075723025271188}
132665891,T1677,GY-D,1025,1026,0.05,0.1,30.360515532460816,-81.48892988606583,{'i_k': 0.0}
177041271,T1678,GY-D,3025,3026,0.05,0.1,38.92564262533884,-91.94947622021094,{'i_k': -2.744264408200437}
36923781,T1679,GY-D,4649,4650,0.05,0.1,39.39767394821332,-83.85475569611322,{'i_k': 9.046001103891953}
146425544,T1680,GY-D,1365,1366,0.05,0.1,46.9797009044471,-101.54212283711388,{'i_k': 2.3472887059868466}
159559238,T1681,GY-D,1617,1618,0.05,0.1,35.723858201493215,-79.75516220114015,{'i_k': 14.074955708371496}
47423968,T1682,GY-D,5163,5164,0.05,0.1,28.437292395448853,-81.45278403583795,{'i_k': 0.14378157995864205}
612123213,T1683,GY-D,5785,5786,0.05,0.1,39.86793989272266,-85.97092352448128,{'i_k': 15.550870697363909}
96149807,T1684,GY-D,7149,7150,0.05,0.1,39.95878841231936,-76.5883253237181,{'i_k': 5.6478751276809005}
1177324927,T1685,GY-D,713,714,0.05,0.1,30.131801532344983,-92.12618832947736,{'i_k': 0.18417968062438544}
186670182,T1686,GY-D,3713,3714,0.05,0.1,30.286639837873352,-90.78613048965693,{'i_k': -0.023545825534298494}
111291076,T1687,GY-D,567,568,0.05,0.1,28.004639447148804,-82.66171026981401,{'i_k': 0.39903339502172}
89403408,T1688,GY-D,6761,6762,0.05,0.1,41.70670536248373,-86.48371887223435,{'i_k': 51.71163135606542}
224445364,T1689,GY-D,4025,4026,0.05,0.1,28.08670134651613,-81.9299013316938,{'i_k': 0.6603778408301771}
138604488,T1690,GY-D,1145,1146,0.05,0.1,32.2830979398681,-90.25849715299697,{'i_k': 0.6342618553753145}
191145747,T1691,GY-D,3903,3904,0.05,0.1,27.77144124563036,-82.7340824570221,{'i_k': 0.5070366065246324}
246406850,T1692,GY-D,4117,4118,0.05,0.1,40.194462939123774,-74.8886869414569,{'i_k': 27.718640086845188}
556862804,T1693,GY-D,5583,5584,0.05,0.1,43.811637360412334,-83.11860627503287,{'i_k': 5.252862932651837}
586972839,T1694,GY-D,5683,5684,0.05,0.1,29.593869633194352,-81.28929186747195,{'i_k': -0.28187987453540425}
162312930,T1695,GY-D,1783,1784,0.05,0.1,42.83294935041938,-70.97242300334139,{'i_k': 0.0}
103114671,T1696,GY-D,135,136,0.05,0.1,26.78231145102609,-80.26281327957788,{'i_k': 0.48839433588627656}
159607213,T1697,GY-D,1627,1628,0.05,0.1,34.90389069401883,-79.75855237168871,{'i_k': 14.244809108213213}
707280718,T1698,GY-D,6087,6088,0.05,0.1,38.53354266117263,-77.32763147905439,{'i_k': 6.253949631837094}
295953491,T1699,GY-D,4289,4290,0.05,0.1,39.51559696866785,-77.91733449832715,{'i_k': 171.74495441491305}
151008917,T1700,GY-D,1455,1456,0.05,0.1,38.47752497942109,-82.39523783009737,{'i_k': 0.0}
156430944,T1701,GY-D,1539,1540,0.05,0.1,43.13028032728821,-88.00813607967653,{'i_k': 27.734135831450143}
186427711,T1702,GY-D,3661,3662,0.05,0.1,33.58655910637252,-85.97221842838958,{'i_k': 1.7354925198885043}
461017241,T1703,GY-D,5119,5120,0.05,0.1,34.04318424969829,-84.05197327085125,{'i_k': -0.2629117058680925}
973936534,T1704,GY-D,7241,7242,0.05,0.1,33.89788222253819,-84.20179851288194,{'i_k': 5.003794510616029}
975245896,T1705,GY-D,7243,7244,0.05,0.1,33.74737698554856,-84.54717706893997,{'i_k': -1.3812458988362446}
73877825,T1706,GY-D,6173,6174,0.05,0.1,39.4994152010507,-78.91647062611804,{'i_k': 104.66361367142092}
141373736,T1707,GY-D,1275,1276,0.05,0.1,44.74025916882947,-68.75386285642972,{'i_k': 45.1255347458328}
176503131,T1708,GY-D,2987,2988,0.05,0.1,47.499672655690006,-93.0329479077204,{'i_k': -2.179967606423544}
168947491,T1709,GY-D,2241,2242,0.05,0.1,37.48989202049856,-93.62071200695766,{'i_k': 0.0}
